timestamp,millis,T_ref_C,T_heater_C,T_target_C,error_C,pwm_percent,p_term,i_term,d_term,auto_mode
2026-05-14T14:40:20.221076,1154913.0,26.6266,32.6347,32.6334,-0.0021,49.182,-0.0422,49.2244,0.0,1
2026-05-14T14:40:20.721091,1155415.0,26.6263,32.6117,32.6196,-0.0063,49.1,-0.125,49.225,0.0,1
2026-05-14T14:40:21.221002,1155917.0,26.6315,32.6262,32.6354,0.0042,49.308,0.0846,49.2237,0.0,1
2026-05-14T14:40:21.721883,1156419.0,26.6227,32.621,32.637,0.0153,49.53,0.3064,49.224,0.0,1
2026-05-14T14:40:22.221001,1156921.0,26.6161,32.6346,32.6189,0.0008,49.239,0.016,49.2233,0.0,1
2026-05-14T14:40:22.721361,1157422.0,26.6102,32.6257,32.6081,-0.0027,49.165,-0.0533,49.218,0.0,1
2026-05-14T14:40:23.221322,1157924.0,26.6169,32.6225,32.6193,-0.0072,49.07,-0.144,49.214,0.0,1
2026-05-14T14:40:23.721281,1158426.0,26.6139,32.63,32.6217,-0.0047,49.113,-0.0941,49.2069,0.0,1
2026-05-14T14:40:24.221913,1158928.0,26.6215,32.6043,32.6235,0.0031,49.267,0.0624,49.2043,0.0,1
2026-05-14T14:40:24.721796,1159431.0,26.6154,32.6199,32.6087,-0.001,49.181,-0.0193,49.2006,0.0,1
2026-05-14T14:40:25.221249,1159933.0,26.6144,32.6288,32.6297,0.0167,49.542,0.3349,49.2071,0.0,1
2026-05-14T14:40:25.722038,1160435.0,26.6201,32.6105,32.618,0.0009,49.217,0.0178,49.1995,0.0,1
2026-05-14T14:40:26.221480,1160937.0,26.6213,32.6156,32.6016,-0.0086,49.03,-0.1724,49.202,0.0,1
2026-05-14T14:40:26.721739,1161439.0,26.6052,32.6198,32.608,-0.0114,48.97,-0.2274,49.1978,0.0,1
2026-05-14T14:40:27.221911,1161941.0,26.6139,32.6085,32.6208,0.0067,49.336,0.1345,49.2015,0.0,1
2026-05-14T14:40:27.721882,1162443.0,26.6057,32.6299,32.6161,-0.0096,49.009,-0.1921,49.2011,0.0,1
2026-05-14T14:40:28.223025,1162945.0,26.6062,32.6325,32.6102,0.0071,49.343,0.1411,49.2021,0.0,1
2026-05-14T14:40:28.771040,1163447.0,26.5937,32.6031,32.5937,-0.0094,49.008,-0.1873,49.1952,0.0,1
2026-05-14T14:40:29.271128,1163949.0,26.6034,32.6081,32.6127,0.0121,49.439,0.2422,49.1965,0.0,1
2026-05-14T14:40:29.772325,1164451.0,26.6068,32.5982,32.602,-0.0087,49.016,-0.1741,49.1905,0.0,1
2026-05-14T14:40:30.271901,1164953.0,26.6058,32.6129,32.612,-0.0161,48.869,-0.3222,49.1907,0.0,1
2026-05-14T14:40:30.771572,1165455.0,26.6036,32.6219,32.6028,-0.0087,49.014,-0.1733,49.1877,0.0,1
2026-05-14T14:40:31.271063,1165957.0,26.5924,32.6083,32.6029,0.0111,49.408,0.222,49.186,0.0,1
2026-05-14T14:40:31.771532,1166459.0,26.5937,32.6062,32.5988,0.0036,49.26,0.0729,49.1869,0.0,1
2026-05-14T14:40:32.271267,1166961.0,26.5837,32.5975,32.5916,-0.0101,48.966,-0.2026,49.1684,0.0,1
2026-05-14T14:40:32.771228,1167463.0,26.5938,32.6023,32.5977,-0.0089,48.985,-0.1787,49.1635,0.0,1
2026-05-14T14:40:33.271673,1167965.0,26.602,32.5963,32.6027,0.0001,49.161,0.0021,49.1585,0.0,1
2026-05-14T14:40:33.771689,1168467.0,26.5895,32.6112,32.5808,-0.0252,48.648,-0.5035,49.1518,0.0,1
2026-05-14T14:40:34.271377,1168969.0,26.589,32.5852,32.5919,0.0108,49.367,0.2164,49.1508,0.0,1
2026-05-14T14:40:34.771708,1169470.0,26.5749,32.5975,32.5873,-0.0071,49.009,-0.1411,49.1497,0.0,1
2026-05-14T14:40:35.271136,1169972.0,26.5961,32.5912,32.5931,0.0027,49.203,0.0533,49.1493,0.0,1
2026-05-14T14:40:35.771039,1170474.0,26.5878,32.5885,32.5836,-0.0075,48.998,-0.1503,49.1483,0.0,1
2026-05-14T14:40:36.271868,1170976.0,26.5904,32.5758,32.5805,-0.0082,48.977,-0.1649,49.1424,0.0,1
2026-05-14T14:40:36.771688,1171478.0,26.587,32.5725,32.5744,0.0085,49.314,0.1694,49.1443,0.0,1
2026-05-14T14:40:37.271211,1171980.0,26.5644,32.5695,32.5691,0.0055,49.26,0.1109,49.149,0.0,1
2026-05-14T14:40:37.771672,1172482.0,26.5772,32.5703,32.5736,-0.0034,49.079,-0.0689,49.1479,0.0,1
2026-05-14T14:40:38.271276,1172984.0,26.5829,32.5837,32.5872,0.0082,49.317,0.1649,49.1518,0.0,1
2026-05-14T14:40:38.771572,1173487.0,26.5683,32.5958,32.5712,-0.0209,48.728,-0.4173,49.1455,0.0,1
2026-05-14T14:40:39.271341,1173988.0,26.5752,32.5835,32.5744,0.0017,49.18,0.0333,49.147,0.0,1
2026-05-14T14:40:39.771336,1174491.0,26.5843,32.594,32.5853,0.0033,49.209,0.0665,49.1428,0.0,1
2026-05-14T14:40:40.271043,1174992.0,26.5685,32.5873,32.5763,-0.0263,48.605,-0.5265,49.1313,0.0,1
2026-05-14T14:40:40.772968,1175495.0,26.57,32.582,32.5738,-0.0028,49.069,-0.0558,49.1246,0.0,1
2026-05-14T14:40:41.321701,1175997.0,26.5673,32.5847,32.5823,0.0127,49.375,0.2541,49.1212,0.0,1
2026-05-14T14:40:41.821573,1176499.0,26.5744,32.5703,32.5717,0.0025,49.169,0.0504,49.119,0.0,1
2026-05-14T14:40:42.321460,1177001.0,26.5791,32.5657,32.5714,0.0048,49.221,0.0968,49.1238,0.0,1
2026-05-14T14:40:42.821861,1177503.0,26.5651,32.5774,32.5651,-0.0124,48.872,-0.2479,49.1201,0.0,1
